State code,State,County code,County name,Density per square mile of land area
33,New Hampshire,33001,Belknap County,150.1
33,New Hampshire,33003,Carroll County,51.4
33,New Hampshire,33005,Cheshire County,109.1
33,New Hampshire,33007,Coos County,18.4
33,New Hampshire,33009,Grafton County,52.2
33,New Hampshire,33011,Hillsborough County,457.4
33,New Hampshire,33013,Merrimack County,156.8
33,New Hampshire,33015,Rockingham County,425
33,New Hampshire,33017,Strafford County,333.7
33,New Hampshire,33019,Sullivan County,81.4
